ydate,county_2000,n_obs,median_totalprice,mean_totalprice,median_unitsize,mean_unitsize,median_totalfloor,mean_totalfloor,median_bedroom,mean_bedroom,median_byear,mean_byear,tenure
2013,平谷区,23,2080000.0,2616652.1739130435,53.299999,61.84869530434783,,,2.0,1.9565217391304348,1992.0,1991.5652173913043,21.43478260869574
2013,延庆县,34,2215000.0,2562794.117647059,74.700001,83.96911702941176,,,2.0,2.0588235294117645,2003.0,2003.3823529411766,9.617647058823422
2013,怀柔区,114,2145000.0,2333736.8421052634,88.0,89.00263135964911,,,2.0,2.087719298245614,2004.5,2002.4561403508771,10.543859649122851
2013,房山区,50,2165000.0,2310240.0,106.36500000000001,98.86519956000001,,,2.5,2.4,2004.0,2002.0,11.0
2013,昌平区,4097,2400000.0,2443527.1691481574,94.360001,97.85361484866975,,,2.0,2.1972174762020993,2003.0,2002.827678789358,10.17232121064194
2013,朝阳区,11194,2600000.0,2939613.959661426,72.4850005,82.56380745068786,,,2.0,1.9446131856351616,2002.0,1999.8098088261568,13.190191173843232
2013,海淀区,5288,3100000.0,3506047.60816944,66.0,78.37338315960665,,,2.0,2.0085098335854767,1998.0,1996.963502269289,16.036497730711062
2013,石景山区,1871,1950000.0,2244875.909673971,63.0,71.88132015125602,,,2.0,1.9861036878674505,1994.0,1994.423303046499,18.576696953500914
2013,西城区,1031,3480000.0,3831401.9204655676,60.0,66.04566432589719,,,2.0,1.8845780795344327,1992.0,1992.1037827352086,20.896217264791403
2013,通州区,3299,1690000.0,1795349.323734465,87.25,87.07441344801455,,,2.0,1.9445286450439527,2004.0,2003.1612609881781,9.838739011821872
2013,门头沟区,9,2170000.0,2645333.3333333335,50.5,59.45555488888889,,,2.0,1.5555555555555556,1997.0,1997.7777777777778,15.222222222222172
2013,顺义区,2291,1550000.0,1711837.0493234396,83.050003,90.17126583107813,,,2.0,2.1510257529463117,2000.0,1999.6804888694894,13.319511130510591
2014,东城区,873,3130000.0,3460405.9095074455,63.09,68.83262318877435,,,2.0,1.9495990836197021,1994.0,1994.3321878579611,19.667812142038883
2014,丰台区,3741,2250000.0,2576491.7636995455,70.389999,78.17502001844427,,,2.0,1.9775461106655974,2001.0,1999.9850307404438,14.01496925955621
2014,大兴区,2552,1950000.0,2184900.9847178683,84.0,87.60480410266457,,,2.0,2.1293103448275863,2003.0,2001.6700626959248,12.329937304075202
2014,宣武区,1273,2750000.0,3138243.431264729,60.919998,68.93545965593087,,,2.0,1.9104477611940298,1997.0,1994.5490966221523,19.45090337784768
2014,密云县,13,2480000.0,2538230.769230769,77.349998,92.10846146153845,,,2.0,2.230769230769231,2000.0,1997.6153846153845,16.384615384615472
2014,崇文区,887,2498000.0,2885536.527621195,61.0,69.27875988726043,,,2.0,1.8861330326944759,2000.0,1996.089064261556,17.910935738444095
2014,平谷区,28,1935000.0,2500035.714285714,54.370001,62.541785142857144,,,2.0,1.8928571428571428,1992.0,1991.4285714285713,22.57142857142867
2014,延庆县,24,2280000.0,2674708.3333333335,78.4449995,87.58083229166668,,,2.0,2.2083333333333335,2003.0,2000.375,13.625
2014,怀柔区,87,2415000.0,2670954.0229885057,86.0,87.65517216091953,,,2.0,2.0344827586206895,2005.0,2002.4252873563219,11.57471264367814
2014,房山区,49,2400000.0,2622449.0,88.669998,96.56857177551021,,,3.0,2.3877551020408165,2002.0,2001.3877551020407,12.612244897959272
2014,昌平区,3278,2450000.0,2525357.976815131,95.72500199999999,98.32991759304453,,,2.0,2.238255033557047,2003.0,2002.5533862111042,11.446613788895775
2014,朝阳区,9785,2630000.0,3067183.1996034747,71.099998,82.1407777445069,,,2.0,2.0122636688809403,2000.0,1998.325907000511,15.674092999488948
2014,海淀区,5768,3030000.0,3471319.594486824,65.66,76.58237517458392,,,2.0,2.0320735090152566,1997.0,1996.3335644937586,17.66643550624144
2014,石景山区,1629,1940000.0,2180839.4033149173,64.150002,71.61704724432167,,,2.0,1.9901780233271946,1995.0,1994.207489257213,19.792510742787044
2014,西城区,1325,3400000.0,3825499.079245283,59.099998,65.40372824113207,,,2.0,1.889811320754717,1991.0,1991.8015094339623,22.198490566037663
2014,通州区,2225,1850000.0,1957115.7298876403,88.459999,88.82310558157303,,,2.0,2.027415730337079,2004.0,2003.1249438202246,10.875056179775356
2014,门头沟区,13,2560000.0,2733846.153846154,66.800003,66.41307753846154,,,2.0,1.9230769230769231,1995.0,1997.3076923076924,16.692307692307622
2014,顺义区,1833,1630000.0,1842708.2144026186,82.0,88.91115104855429,,,2.0,2.138025095471904,2000.0,1999.5673758865248,14.432624113475185
2015,东城区,1508,3650000.0,4071273.75994695,64.54499849999999,73.09318296896552,,,2.0,2.003315649867374,1995.0,1995.0092838196285,19.990716180371464
2015,丰台区,6751,2300000.0,2652213.7938083247,70.720001,79.38811579780773,,,2.0,1.962968449118649,2002.0,2000.4898533550586,14.510146644941415
2015,大兴区,4680,1910000.0,2244673.7931623934,84.0,88.20634610021368,,,2.0,2.1173076923076923,2003.0,2002.7100427350426,12.289957264957366
2015,宣武区,2308,3050000.0,3553087.1165511264,61.470001,71.807738292461,,,2.0,1.874783362218371,1998.5,1996.0112651646448,18.988734835355217
2015,密云县,25,2490000.0,2672360.0,81.379997,83.50320008,,,2.0,1.92,2000.0,2000.12,14.88000000000011
2015,崇文区,1638,2750000.0,3136076.0189255187,63.3600005,70.86768621978023,,,2.0,1.8583638583638584,2002.0,1997.5824175824175,17.41758241758248
2015,平谷区,21,2235000.0,2453809.523809524,56.91,63.36571438095238,,,2.0,2.0476190476190474,1988.0,1988.8095238095239,26.190476190476147
2015,延庆县,50,2405000.0,3289620.0,76.18,93.51499938,,,2.0,2.16,2003.0,2002.28,12.720000000000027
2015,怀柔区,161,2350000.0,2495751.552795031,71.949997,77.45726692546583,,,2.0,1.826086956521739,2005.0,2003.552795031056,11.447204968944106
2015,房山区,678,1720000.0,1889820.5014749262,88.800003,91.13858402654867,,,2.0,2.1887905604719764,2008.0,2006.386430678466,8.613569321533987
2015,昌平区,6154,2400000.0,2497831.891917452,94.42499900000001,98.43314427803055,,,2.0,2.2120571985700357,2003.0,2002.8550536236594,12.144946376340613
2015,朝阳区,18542,2770000.0,3251107.7844757847,74.949997,84.25328335411498,,,2.0,1.9863013698630136,2002.0,1999.5810052852983,15.41899471470174
2015,海淀区,9619,3250000.0,3767340.6327684787,67.099998,78.41767232737291,,,2.0,2.0395051460650797,1998.0,1996.8004990123713,18.199500987628653
2015,石景山区,2515,1915000.0,2316774.0890656062,64.209999,74.08563412882704,,,2.0,1.9789264413518888,1996.0,1995.2282306163022,19.7717693836978
2015,西城区,2206,4000000.0,4486708.199456029,59.700001,65.5496101582049,,,2.0,1.913871260199456,1990.0,1991.3281958295559,23.671804170444148
2015,通州区,4535,1910000.0,2063165.7263506064,88.010002,89.0167651477398,,,2.0,1.9907386990077178,2004.0,2003.5675854465271,11.432414553472881
2015,门头沟区,448,1425000.0,1608916.6964285714,71.34,75.08167398883928,,,2.0,2.0357142857142856,2002.0,2001.779017857143,13.22098214285711
2015,顺义区,2891,1700000.0,1944094.8893116568,84.18,91.13278448045659,,,2.0,2.1528882739536495,2000.0,2000.1864406779662,14.813559322033825
